MeterID,ServiceLocationID,ESIID,ReadingDate,ReadingTime,kWh,rxKWh,KVARHImprt,KVARhExprt,kWhImprtRateA,kWhImprtRateB,kWhExprtRateA,kWhExprtRateB,kVARhImprtRateA,kVARhImprtRateB,kVARhExprtRateA,kVARhExprtRateB,kVARhTotalRateA,kVARhTotalRateB,ExprtkVARhTotalRateA,ExprtkVARhTotalRateB
5052971,,,23/01/2018,12:00:00AM,617.000,0.000,15.000,103.451,179.491,437.752,0.052,0.000,,,,,11.205,4.756,47.095,56.356
5052972,,,23/01/2018,12:00:00AM,352.000,0.000,4.000,127.904,190.135,162.294,0.052,0.000,,,,,1.784,2.530,60.904,67.000
5052973,,,23/01/2018,12:00:00AM,849.000,0.000,10.000,286.132,537.063,312.361,0.052,0.000,,,,,4.190,6.219,149.451,136.681
5052974,,,23/01/2018,12:00:00AM,1154.000,0.000,73.000,31.614,664.354,489.840,0.052,0.000,,,,,35.114,38.750,15.974,15.640
5052975,,,23/01/2018,12:00:00AM,991.000,0.000,25.000,35.559,252.756,738.462,0.052,0.000,,,,,13.034,12.125,17.705,17.854
5052976,,,23/01/2018,12:00:00AM,680.000,0.000,14.000,241.797,319.221,360.983,0.052,0.000,,,,,9.794,5.195,124.488,117.309
5052977,,,23/01/2018,12:00:00AM,841.000,0.000,4.000,128.029,359.798,481.213,0.052,0.000,,,,,3.780,0.398,62.722,65.307
5052978,,,23/01/2018,12:00:00AM,570.000,0.000,214.000,10.802,224.227,346.480,0.052,0.000,,,,,109.778,104.535,5.276,5.526
5052979,,,23/01/2018,12:00:00AM,858.000,0.000,194.000,5.797,559.290,299.345,0.052,0.000,,,,,99.774,95.177,3.518,2.279
5052980,,,23/01/2018,12:00:00AM,1084.000,0.000,38.000,86.923,510.803,573.827,0.052,0.000,,,,,26.439,12.047,39.645,47.278
5052981,,,23/01/2018,12:00:00AM,839.000,0.000,58.000,123.257,413.423,426.480,0.052,0.000,,,,,35.797,22.497,54.067,69.190
5052982,,,23/01/2018,12:00:00AM,15.000,0.000,1.000,0.000,13.795,1.487,0.052,0.000,,,,,1.293,0.678,0.000,0.000
5052983,,,23/01/2018,12:00:00AM,154.000,0.000,73.000,11.297,82.698,71.934,0.052,0.000,,,,,37.314,36.073,5.709,5.588
